 ,Area,Perim.,Circ.,AR,Round,Solidity
157,523,87.598,0.856,1.162,0.861,0.929
158,389,77.841,0.807,1.353,0.739,0.921
159,378,76.426,0.813,1.295,0.772,0.921
160,380,85.598,0.652,1.839,0.544,0.843
161,363,69.255,0.951,1.015,0.985,0.948
162,361,73.841,0.832,1.344,0.744,0.901
163,381,77.841,0.790,1.392,0.719,0.907
164,241,60.527,0.827,1.096,0.912,0.904
165,534,85.497,0.918,1.038,0.963,0.953
166,241,57.113,0.928,1.035,0.966,0.934
167,319,75.841,0.697,1.553,0.644,0.902
168,316,70.527,0.798,1.445,0.692,0.940
169,305,64.184,0.930,1.109,0.901,0.940
170,446,93.012,0.648,1.477,0.677,0.875
171,322,69.698,0.833,1.059,0.944,0.924
172,321,68.770,0.853,1.411,0.709,0.913
173,530,91.497,0.796,1.389,0.720,0.912
174,214,54.426,0.908,1.171,0.854,0.920
175,344,82.426,0.636,2.374,0.421,0.909
176,391,83.255,0.709,1.290,0.775,0.843
177,318,68.870,0.843,1.198,0.835,0.920
178,296,72.184,0.714,2.122,0.471,0.892
179,253,63.113,0.798,1.127,0.888,0.908
180,213,55.355,0.874,1.215,0.823,0.912
181,243,62.770,0.775,1.481,0.675,0.897
182,398,75.841,0.870,1.276,0.784,0.939
183,193,51.355,0.920,1.302,0.768,0.921
184,349,70.426,0.884,1.075,0.930,0.929
185,282,65.497,0.826,1.860,0.538,0.925
186,468,80.770,0.901,1.155,0.866,0.951
187,373,76.669,0.797,1.490,0.671,0.900
188,477,82.669,0.877,1.182,0.846,0.937
189,278,72.083,0.672,1.509,0.663,0.842
190,362,72.083,0.875,1.382,0.724,0.935
191,921,134.711,0.638,1.801,0.555,0.876
192,305,67.941,0.830,1.402,0.713,0.927
193,181,51.456,0.859,1.292,0.774,0.921
194,173,50.385,0.856,1.088,0.919,0.935
195,227,56.527,0.893,1.281,0.780,0.930
196,335,74.527,0.758,1.303,0.767,0.875
197,173,49.456,0.889,1.259,0.794,0.930
198,163,48.627,0.866,1.181,0.847,0.934
199,342,70.770,0.858,1.113,0.899,0.922
200,433,77.841,0.898,1.268,0.789,0.943
201,466,83.255,0.845,1.452,0.689,0.927
202,197,52.870,0.886,1.295,0.772,0.929
203,294,63.355,0.920,1.228,0.814,0.942
204,310,75.841,0.677,2.363,0.423,0.862
205,291,63.113,0.918,1.161,0.862,0.951
206,322,68.184,0.870,1.420,0.704,0.935
207,199,53.456,0.875,1.086,0.921,0.915
208,466,86.083,0.790,1.186,0.844,0.886
209,680,112.912,0.670,1.250,0.800,0.868
210,579,100.326,0.723,1.336,0.748,0.891
211,167,47.213,0.941,1.119,0.893,0.946
212,376,75.012,0.840,1.463,0.684,0.931
213,228,62.770,0.727,1.966,0.509,0.901
214,430,75.941,0.937,1.161,0.861,0.961
215,192,55.941,0.771,1.233,0.811,0.848
216,325,67.012,0.909,1.262,0.792,0.938
217,174,54.284,0.742,1.863,0.537,0.881
218,355,83.255,0.644,1.168,0.856,0.807
219,310,72.770,0.736,1.506,0.664,0.893
220,318,67.941,0.866,1.497,0.668,0.934
221,606,95.497,0.835,1.339,0.747,0.928
222,198,61.355,0.661,1.603,0.624,0.813
223,258,65.941,0.746,1.386,0.721,0.891
224,296,69.941,0.760,1.164,0.859,0.904
225,202,55.113,0.836,1.171,0.854,0.908
226,253,62.627,0.811,1.761,0.568,0.953
227,205,64.770,0.614,2.188,0.457,0.820
228,397,76.083,0.862,1.165,0.859,0.920
229,242,62.284,0.784,1.258,0.795,0.893
230,191,55.456,0.780,1.442,0.693,0.880
231,320,68.669,0.853,1.078,0.928,0.905
232,485,82.669,0.892,1.360,0.736,0.947
233,383,74.184,0.875,1.283,0.780,0.946
234,243,58.770,0.884,1.164,0.859,0.929
235,234,58.284,0.866,1.068,0.936,0.918
236,481,97.154,0.640,1.386,0.721,0.814
237,353,71.941,0.857,1.419,0.705,0.938
238,358,73.598,0.831,1.586,0.631,0.932
239,289,63.355,0.905,1.206,0.829,0.931
240,188,55.113,0.778,1.869,0.535,0.897
241,179,49.698,0.911,1.221,0.819,0.923
242,262,61.355,0.875,1.326,0.754,0.921
243,290,72.770,0.688,1.457,0.686,0.848
244,396,77.255,0.834,1.629,0.614,0.918
245,334,71.698,0.816,1.166,0.857,0.911
246,408,85.255,0.705,1.438,0.695,0.874
247,474,81.255,0.902,1.087,0.920,0.945
248,415,79.012,0.835,1.431,0.699,0.932
249,321,74.083,0.735,1.118,0.894,0.872
250,191,52.770,0.862,1.297,0.771,0.903
251,529,88.083,0.857,1.255,0.797,0.940
252,392,81.941,0.734,1.676,0.597,0.916
253,337,74.184,0.770,1.787,0.560,0.925
254,197,53.698,0.859,1.133,0.883,0.891
255,353,73.841,0.814,1.308,0.765,0.911
256,220,54.870,0.918,1.109,0.902,0.938
257,568,89.497,0.891,1.243,0.804,0.948
258,528,83.841,0.944,1.115,0.897,0.962
259,191,58.527,0.701,1.314,0.761,0.838
260,253,60.284,0.875,1.209,0.827,0.934
261,246,60.385,0.848,1.160,0.862,0.937
262,258,61.355,0.861,1.574,0.635,0.936
263,194,51.113,0.933,1.355,0.738,0.933
264,184,52.527,0.838,1.666,0.600,0.911
265,292,73.841,0.673,1.357,0.737,0.815
266,281,66.770,0.792,1.174,0.852,0.904
267,413,89.983,0.641,1.552,0.644,0.820
268,184,54.870,0.768,1.163,0.860,0.891
269,291,71.355,0.718,1.131,0.884,0.862
270,267,61.598,0.884,1.215,0.823,0.916
271,468,82.326,0.868,1.163,0.860,0.934
