ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Name,Metadata_Series,Metadata_Time,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_000.tif,0,cleaned,0,000,3033,456.0,0.0,1.0,1.4025061462613426,0.877710843598025,1.0,0.6722074468085106,0.6097622945884522,93.73789613893965,96.30160954002794,34.539832078341085,12.906657115919693,11.661903789690601,47.0,44.918322987556024,-12.734478791813133,250.01199999999938,0.956782334384858,456.61061655126935,18.37223870755028,0,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
1,2,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_000.tif,0,cleaned,0,000,9167,139.0,44.0,1.0,1.143986390114484,0.7190593318174627,1.0,0.6679539492859224,0.5872801830449105,133.96623453752093,146.11296999240005,45.60701700396552,16.32895886268198,14.560219778561036,93.0,93.0996587713601,-3.598785070321362,442.8899999999985,0.8853583156268109,145.76339042216648,43.52056288862223,0,2,0.0,0.0,nan,0.0,2,1,nan,0.0,0,0.0,0.0
1,3,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_000.tif,0,cleaned,0,000,6051,305.0,117.0,1.0,1.161126520583096,0.7427278695907683,1.0,0.6715871254162042,0.6562096372307034,110.97560458061601,107.28000745712129,29.206163733020468,11.527720359380965,10.63014581273465,75.41690244793482,74.30853159345378,-75.93528575929297,340.40599999999915,0.9014525139664804,302.1500578416791,138.09634771112212,0,3,0.0,0.0,nan,0.0,3,1,nan,0.0,0,0.0,0.0
1,4,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_000.tif,0,cleaned,0,000,2241,511.0,115.0,1.0,2.121189805327433,0.9605955571182729,1.0,0.6853211009174311,0.4335183317294873,105.85142626637868,108.46197490364999,26.92582403567252,10.375476151272135,9.433981132056603,29.0,29.421398817088313,88.5229559679581,254.87199999999976,0.9212744090441934,499.90138331102185,113.75502008032129,0,4,0.0,0.0,1.0,0.0,4,1,nan,0.0,0,0.0,0.0
1,5,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_000.tif,0,cleaned,0,000,8562,146.0,162.0,1.0,1.1808673331858817,0.7686631958796025,1.0,0.5529578920175665,0.5627886318726975,134.94206407741686,161.533278305122,41.012193308819754,14.778237626854143,12.727922061357855,96.86799522355457,86.31619430428621,-6.819341009305315,437.2399999999985,0.8372365912091135,132.62683952347584,162.6188974538659,0,5,0.0,0.0,nan,0.0,5,1,nan,0.0,0,0.0,0.0
1,6,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_000.tif,0,cleaned,0,000,7317,369.0,231.0,1.0,1.1581881352881467,0.8036142381754426,1.0,0.681158071122696,0.7104627521352531,126.03255451910589,135.4400236266961,37.8549864614954,13.979551104312462,12.649110640673518,80.6981303085401,75.0083419202637,-68.62958546025986,359.7499999999992,0.9463269529229176,371.01817684843513,228.21388547218805,0,6,0.0,0.0,nan,0.0,6,1,nan,0.0,0,0.0,0.0
1,7,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_000.tif,0,cleaned,0,000,10568,205.0,258.0,1.0,1.0811605628289822,0.5749558204538253,1.0,0.629422275163788,0.7056210295637151,131.78985734669396,145.08618128546908,49.0,16.88344915120682,14.866068747318506,104.3337838935139,107.82841277868421,66.92205583314654,433.825999999999,0.9206777889097009,201.31131718395156,257.4163512490538,0,7,0.0,0.0,nan,0.0,7,1,nan,0.0,0,0.0,0.0
1,8,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_000.tif,0,cleaned,0,000,5244,511.0,307.0,1.0,1.3486614822415726,0.8588748446720207,1.0,0.6936507936507936,0.5644801610344576,119.25957074300219,122.0245876862528,43.41658669218482,15.59210756233598,13.92838827718412,62.0,61.083024591436455,78.48559796179244,341.67399999999924,0.9124760744736384,485.68573607932876,310.0802822273074,0,8,0.0,0.0,nan,0.0,8,1,nan,0.0,0,0.0,0.0
1,9,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_000.tif,0,cleaned,0,000,3836,101.0,313.0,1.0,1.3144229789672113,0.7325639502339174,1.0,0.5977871279414056,0.49110371290176985,93.54542615482943,93.2148056909416,23.08679276123039,8.263985974262539,7.211102550927978,63.05711696549407,63.67620453034968,69.48166879308003,313.29799999999926,0.814610320662561,108.5495307612096,328.25,0,9,0.0,0.0,nan,0.0,9,1,nan,0.0,0,0.0,0.0
1,10,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_000.tif,0,cleaned,0,000,4369,457.0,399.0,1.0,1.2019299089336848,0.8279147398895363,1.0,0.6059639389736478,0.6530308525025799,100.71877841411268,105.3612832116238,28.0,10.454066969439959,9.219544457292887,61.98064213930024,56.48852742826911,-69.02832769778033,289.9539999999993,0.9045548654244309,456.1934081025406,401.8425268940261,0,10,0.0,0.0,nan,0.0,10,1,nan,0.0,0,0.0,0.0
1,11,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_000.tif,0,cleaned,0,000,3056,223.0,509.0,1.0,1.3203209702329823,0.6929487853029146,1.0,0.6062289228327713,0.4227432851237664,82.12441314689414,84.17244204607586,20.0,7.511340256595633,7.0,61.587571538537574,59.210618700800325,-46.025521653674325,301.3999999999994,0.7710357007695219,237.1678664921466,480.0883507853403,0,11,0.0,0.0,1.0,0.0,11,1,nan,0.0,0,0.0,0.0
2,1,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_001.tif,0,cleaned,0,001,2989,464.0,1.0,1.0,1.268319063648239,0.7903041448732329,1.0,0.6065340909090909,0.59465880345317,83.67988680967007,89.98888820293314,36.0,12.682959674931723,11.0,55.0,51.27190049836716,-14.024927597453495,251.32399999999933,0.9245283018867925,461.2328537972566,19.83138173302108,0,1,4.847079071664914,4.847079071664914,nan,4.847079071664914,1,2,1.0,1.0,1,4.6222372459872645,1.459143025470798
2,2,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_001.tif,0,cleaned,0,001,8845,141.0,30.0,1.0,1.1471652979966893,0.7896280830129296,1.0,0.7078831532613046,0.6492794952014391,136.7768143325165,146.08559134972896,49.040799340956916,18.59134386324326,16.76305461424021,84.0,83.92430620149733,-4.66438671724262,413.74999999999864,0.9222668265471039,140.18609383832674,38.023629169022044,0,2,7.830869523992082,7.830869523992082,nan,7.830869523992082,2,2,1.0,1.0,2,-5.57729658383974,-5.496933719600186
2,3,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_001.tif,0,cleaned,0,001,8530,300.0,119.0,1.0,1.2864681816888046,0.7099546348055844,1.0,0.49752114319043456,0.45517425389941896,136.43977480662517,137.78606605894515,32.526911934581186,11.742544601683614,10.295630140987,99.91769975780483,96.08735822484101,51.82031382126033,485.27799999999854,0.7728549424662499,288.1118405627198,126.01219226260258,0,3,18.522914383953065,18.522914383953065,nan,18.522914383953065,3,2,1.0,1.0,3,-14.03821727895928,-12.084155448519539
2,4,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_001.tif,0,cleaned,0,001,8198,151.0,160.0,1.0,1.0853504940024312,0.45976136495109177,1.0,0.6094261076419863,0.7148727794750596,112.37007915140019,118.53269591129698,40.24922359499622,14.597272000881032,13.0,100.7606631707213,99.78940636228116,21.036294722826824,379.61599999999873,0.9124095715080692,145.83373993656988,162.99560868504514,0,4,13.212271942140772,13.212271942140772,nan,13.212271942140772,5,2,1.0,1.0,5,13.206900413094047,0.3767112311792289
2,5,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_001.tif,0,cleaned,0,001,7938,381.0,222.0,1.0,1.203769300612826,0.8225621440070477,1.0,0.7047230113636364,0.7184754717594316,135.37154025368227,136.0588108135596,35.90264614203248,14.008949879269581,13.0,82.48506396943782,76.98244203095108,-73.83551829566628,372.6099999999992,0.934762129062647,378.01549508692364,219.57684555303604,0,5,11.115796017186952,11.115796017186952,nan,11.115796017186952,6,2,1.0,1.0,6,6.9973182384885035,-8.637039919152016
